address,lat,long,hoursOfUsableSunlightPerYear,sqFeetAvailableForSolarPanels,recommendedSolarInstallationSizeInKW,recommendedSolarInstallationSizeInSqFt
"775 W AVENUE J12 ,LANCASTER,CA,93534",34.678295,118.14568,2161,1920,2.8,194.0
"20600 LUGANO WAY ,NORTHRIDGE,CA,91326",34.279682,118.58158,1994,1674,2.8,194.0
"1992 LA CUESTA DR ,SANTA ANA,CA,92705",33.758087,117.77996,1917,2608,3.0,211.0
"FAIRWAY HILL CIR ,VALLEY CENTER,CA,92082",33.233265,117.13932,2007,4581,1.8,123.0
"326 E 1ST ST ,HANFORD,CA,93230",36.321178,119.63988,1830,617,3.0,211.0
"2935 N WHITE AVE 3,LA VERNE,CA,91750",34.105137,117.76059,1923,1920,3.3,229.0
"5774 CHESBRO AVE ,SAN JOSE,CA,95123",37.246624,121.84248,1950,1357,2.5,176.0
"624 E 3RD ST ,BAKERSFIELD,CA,93307",35.359371,118.99776,1961,740,2.8,194.0
"555 BUTTERWOOD AVE ,SAN MARCOS,CA,92069",33.143654,117.12482,1990,1480,2.0,141.0
"2454 BRANT ST ,SAN DIEGO,CA,92101",32.730869,117.16683,1937,1269,2.0,141.0
"43842 NATHAN DR ,HEMET,CA,92544",33.749779,116.89614,2037,1744,3.3,229.0
"2621 ALBRIGHT PL ,ESCONDIDO,CA,92027",33.148811,117.04333,1973,1850,2.0,141.0
"7309 E SINGINGWOOD DR ,ANAHEIM,CA,92808",33.846176,117.75343,1900,2801,3.3,229.0
"77 WILLOW TREE LN ,IRVINE,CA,92612",33.662109,117.81175,1912,1233,3.3,229.0
"4551 KINCAID CT ,EUREKA,CA,95503",40.766472,124.1731,1521,2026,3.3,229.0
"105 TOLUCA CT ,SOLANA BEACH,CA,92075",32.995792,117.24398,1804,2978,2.0,141.0
"1864 CREST DR ,ENCINITAS,CA,92024",33.024616,117.26257,1834,2238,2.0,141.0
"514 N ARDMORE AVE ,LOS ANGELES,CA,90004",34.080353,118.30151,1953,1885,2.8,194.0
"185 W SIMPSON ST ,VENTURA,CA,93001",34.289238,119.30145,1803,652,3.5,247.0
"15243 KNAPP ST ,NORTH HILLS,CA,91343",34.238197,118.46362,1985,1850,3.0,211.0
"1225 DAVID DR ,OAKDALE,CA,95361",37.777313,120.84223,1815,2819,3.8,264.0
"7161 FLANDERS WAY ,SACRAMENTO,CA,95842",38.698544,121.34468,1745,987,3.0,211.0
"847 SAGEWOOD LN ,TRACY,CA,95377",37.699787,121.43726,,,,
"960 S FLINTRIDGE WAY ,ANAHEIM,CA,92808",33.856995,117.73282,1947,2185,3.0,211.0
"331 PROSPECT PARK ,TUSTIN,CA,92780",33.747955,117.82095,1964,13654,3.0,211.0
"7855 COWLES MOUNTAIN CT ,SAN DIEGO,CA,92119",32.801884,117.02619,,,,
"1038 WILLIAM CT ,SIMI VALLEY,CA,93065",34.258263,118.7844,2036,2731,2.5,176.0
"2884 E SILAXO RD ,CLOVIS,CA,93619",36.911613,119.73058,1885,564,2.8,194.0
"12425 SHAMROCK AVE ,VICTORVILLE,CA,92395",34.476784,117.31509,2236,1850,2.8,194.0
"1299 BUTTONBRUSH LN ,EL CAJON,CA,92019",32.776798,116.89133,1998,1956,2.0,141.0
"1228 VAN RYN AVE ,MANTECA,CA,95337",37.784515,121.19955,1804,1075,2.8,194.0
"12575 OAKS NORTH DR 120,SAN DIEGO,CA,92128",33.032558,117.05795,,,,
"4633 MARLOMA DR ,ROLLING HILLS ESTATES,CA,90274",33.790516,118.36129,1838,2290,3.3,229.0
"7983 RICHARD DR ,LUCERNE,CA,95458",39.039383,122.76125,,,,
"2882 DOW AVE ,TUSTIN,CA,92780",33.710587,117.80542,1850,23556,3.3,229.0
"9163 BYRON WAY ,BROWNS VALLEY,CA,95918",39.226646,121.36838,,,,
"6235 ALMOND AVE ,ORANGEVALE,CA,95662",38.679134,121.23981,1798,969,3.0,211.0
"2783 HERITAGE DR ,PASADENA,CA,91107",34.165356,118.09222,1957,1251,2.8,194.0
"10270 PRINCESS JOANN RD ,SANTEE,CA,92071",32.873276,116.97372,2031,1762,1.8,123.0
"2616 CAMEL BACK RD ,BRENTWOOD,CA,94513",37.910568,121.74438,1879,1973,2.8,194.0
"3323 VIA CARRIZO C,LAGUNA WOODS,CA,92637",33.606804,117.74543,1788,511,3.8,264.0
"1194 GAINESWAY CIR ,BEAUMONT,CA,92223",33.940231,116.99074,2078,1639,3.0,211.0
"4654 PASADENA AVE ,SACRAMENTO,CA,95821",38.639366,121.3555,1672,529,3.3,229.0
"8409 ALAMEDA PARK DR ,ELK GROVE,CA,95624",38.452251,121.35656,1891,2431,2.8,194.0
"639 EVERGREEN DR ,LODI,CA,95242",38.141739,121.3119,1868,1903,2.8,194.0
"8438 SARATOGA WAY ,STOCKTON,CA,95209",38.026646,121.35126,1711,1885,3.0,211.0
"2600 EL DORADO AVE B,OXNARD,CA,93033",34.175705,119.14881,1927,3471,3.0,211.0
"3417 DEER MEADOWS RD ,YREKA,CA,96097",41.660076,122.62263,,,,
"808 CHARDONNAY CIR ,PETALUMA,CA,94954",38.266884,122.64078,1822,546,3.0,211.0
"3468 WEBSTER AVE 2,PERRIS,CA,92571",33.835884,117.24472,2035,6677,3.3,229.0
"4144 KIRKWOOD RD ,CORNING,CA,96021",39.917381,122.17836,,,,
"5486 AMBY DR ,SAN JOSE,CA,95124",37.2379,121.90457,1934,3030,2.5,176.0
"613 PATTERSON RD ,SANTA MARIA,CA,93455",34.868855,120.42893,2062,2202,2.5,176.0
"11095 11TH AVE ,HESPERIA,CA,92345",34.452381,117.32079,2189,300,3.0,211.0
"3461 SENTER RD ,SAN JOSE,CA,95111",37.289211,121.82929,1852,2854,2.8,194.0
